Sex,Length,Diameter,Height,Whole weight,Shucked weight,Viscera weight,Shell weight,Rings,generate column 1,generate column 2,generate column 3,generate column 4,categorical2,categorical3
M,0.595,0.48,0.14,0.9125,0.4095,0.1825,0.289,9,-1.97,1.42,-0.67,1.43,e,
F,0.595,0.46,0.16,0.921,0.4005,0.2025,0.2875,9,0.29,-1.39,1.44,0.8,p,B
F,0.6,0.45,0.14,0.8690000000000001,0.3425,0.195,0.29100000000000004,11,-0.09,-2.3,-0.84,0.41,e,W
M,0.6,0.45,0.15,0.8665,0.3695,0.1955,0.255,12,0.66,-1.41,-0.34,-0.12,e,W
F,0.61,0.495,0.16,1.089,0.469,0.198,0.384,11,-0.53,1.32,-0.04,0.18,e,B
M,0.615,0.485,0.215,0.9615,0.422,0.17600000000000002,0.29,11,-0.1,0.61,0.95,1.95,e,W
M,0.615,0.49,0.17,1.145,0.4915,0.208,0.343,13,-0.89,-1.63,-1.15,-1.32,p,H
I,0.62,0.475,0.16,0.907,0.371,0.16699999999999998,0.3075,11,-4.07,1.31,-1.09,-1.09,p,W
F,0.625,0.515,0.155,1.1635,0.4875,0.259,0.355,11,-0.18,-0.58,0.93,1.01,e,H
M,0.63,0.515,0.175,1.1955,0.4920000000000001,0.247,0.37,11,-0.61,-0.12,1.85,-0.05,p,
M,0.63,0.495,0.18,1.31,0.495,0.295,0.4695,10,-0.1,0.63,1.79,-0.94,p,H
F,0.635,0.505,0.165,1.251,0.5770000000000001,0.227,0.3825,11,-1.83,-0.92,0.82,1.65,p,W
F,0.635,0.49,0.155,1.145,0.4775,0.3035,0.3155,9,-1.46,1.04,-2.12,2.02,e,W
M,0.635,0.5,0.18,1.154,0.4405,0.2315,0.387,9,-0.58,0.1,0.68,1.15,p,H
F,0.64,0.485,0.145,1.1335,0.5525,0.2505,0.3015,11,0.86,0.25,-1.17,-0.16,e,B
F,0.64,0.5,0.15,1.2015,0.5589999999999999,0.231,0.3355,9,0.51,1.37,1.34,-0.13,e,B
M,0.65,0.505,0.17,1.5595,0.695,0.3515,0.395,11,-0.97,0.07,0.61,-0.32,e,W
M,0.65,0.51,0.175,1.3165,0.6345,0.2605,0.364,12,-0.22,-0.09,-1.77,-0.06,p,W
M,0.655,0.54,0.165,1.403,0.6955,0.2385,0.42,11,0.19,-0.91,0.01,-0.94,p,W
F,0.655,0.49,0.16,1.204,0.5455,0.2615,0.3225,9,0.93,0.91,0.77,0.68,e,W
F,0.655,0.455,0.17,1.2895,0.5870000000000001,0.3165,0.3415,11,1.51,-0.25,-1.16,0.37,e,B
F,0.66,0.53,0.18,1.5175,0.7765,0.302,0.401,10,-1.01,-0.12,-0.63,-0.83,e,W
M,0.665,0.525,0.155,1.3575,0.5325,0.3045,0.4485,10,0.48,-0.58,-1.23,0.6,p,B
M,0.675,0.52,0.145,1.3645,0.557,0.3405,0.385,11,-0.54,0.13,1.28,0.58,e,
F,0.68,0.52,0.185,1.494,0.615,0.3935,0.406,11,-0.33,-0.95,0.57,0.73,p,W
F,0.68,0.56,0.195,1.664,0.58,0.3855,0.545,11,2.18,-0.62,-0.77,-0.17,e,B
M,0.685,0.51,0.165,1.545,0.6859999999999999,0.3775,0.4055,10,0.22,0.14,-0.39,-0.09,e,A
F,0.695,0.535,0.2,1.5855,0.667,0.334,0.471,11,0.01,0.76,0.34,0.04,p,W
F,0.7,0.555,0.22,1.666,0.647,0.4285,0.455,11,-0.58,1.43,-0.02,0.5,e,
M,0.71,0.56,0.175,1.724,0.5660000000000001,0.4575,0.4625,13,0.49,0.48,0.91,0.17,e,B
F,0.73,0.55,0.205,1.908,0.5415,0.3565,0.5965,14,-1.42,1.95,-0.55,-0.81,e,W
F,0.755,0.575,0.2,2.073,1.0135,0.4655,0.48,11,0.02,1.66,-0.41,-1.49,p,W
I,0.225,0.17,0.05,0.0515,0.019,0.012,0.017,4,0.21,-1.45,0.7,-0.16,e,W
I,0.23,0.17,0.05,0.057,0.026,0.013,0.016,5,0.56,-1.17,0.67,0.35,e,H
I,0.255,0.185,0.06,0.0925,0.039,0.021,0.025,6,-1.32,-0.83,1.26,-0.09,p,N
I,0.355,0.27,0.075,0.204,0.3045,0.046,0.0595,7,-1.38,0.8,-1.9,-0.82,e,W
I,0.425,0.31,0.095,0.3075,0.139,0.0745,0.093,7,0.22,0.76,-1.35,1.85,p,W
I,0.425,0.32,0.085,0.262,0.1235,0.067,0.0725,8,-0.21,-1.42,0.63,-0.22,e,W
M,0.455,0.35,0.11,0.458,0.2,0.111,0.1305,8,2.39,0.07,0.09,-0.01,p,B
M,0.46,0.355,0.14,0.491,0.207,0.115,0.174,10,-0.69,0.69,0.14,1.38,p,W
M,0.495,0.38,0.12,0.474,0.197,0.1065,0.1545,10,-0.62,-0.66,0.07,-0.87,p,H
M,0.51,0.395,0.125,0.5805,0.244,0.1335,0.188,11,-0.27,-0.96,1.59,-1.82,e,W
F,0.52,0.43,0.15,0.728,0.302,0.1575,0.235,11,-0.56,0.33,-1.51,-0.1,p,H
M,0.525,0.4,0.13,0.622,0.2655,0.147,0.184,9,-0.56,0.42,-0.45,-0.3,e,
M,0.53,0.415,0.12,0.706,0.3355,0.1635,0.1345,9,0.46,0.11,-0.44,0.58,p,H
F,0.53,0.395,0.115,0.5685,0.249,0.1375,0.161,9,-1.5,-1.69,0.64,0.54,e,B
M,0.545,0.435,0.145,0.9385,0.3685,0.1245,0.345,11,0.84,-2.44,1.46,1.41,p,B
F,0.55,0.43,0.15,0.655,0.2635,0.122,0.221,8,0.88,1.1,0.67,1.4,e,B
M,0.575,0.48,0.15,0.9465,0.4355,0.2605,0.2505,9,-1.26,0.71,-0.24,0.08,e,W
M,0.58,0.43,0.125,0.9115,0.446,0.2075,0.121,10,0.62,-0.49,0.2,0.66,e,B
M,0.595,0.455,0.145,0.942,0.43,0.182,0.277,11,1.35,-3.11,-0.79,-0.88,e,B
M,0.6,0.465,0.18,1.193,0.5145,0.315,0.3055,8,1.18,1.41,0.54,-0.48,p,B
M,0.645,0.5,0.18,1.461,0.5985,0.2425,0.439,11,0.12,-0.92,0.63,1.3,p,B
M,0.66,0.525,0.2,1.489,0.6065,0.3795,0.421,10,0.37,-0.29,1.97,-2.12,p,W
I,0.29,0.215,0.06,0.1115,0.053,0.0185,0.032,5,-0.37,0.97,1.41,-1.46,e,B
I,0.3,0.22,0.065,0.1235,0.059,0.026,0.0315,5,0.72,-1.02,-1.22,0.57,e,W
I,0.37,0.275,0.1,0.2815,0.1505,0.0505,0.068,5,-0.4,-0.29,-0.73,-1.24,e,W
I,0.375,0.285,0.08,0.226,0.0975,0.04,0.0725,7,-1.39,0.34,-0.48,1.35,e,B
I,0.38,0.29,0.085,0.2285,0.08800000000000001,0.0465,0.075,7,-0.24,-1.04,0.63,2.07,p,W
I,0.395,0.3,0.12,0.2995,0.1265,0.068,0.0895,8,-3.17,1.53,-1.23,0.23,p,H
I,0.41,0.325,0.105,0.361,0.1605,0.0665,0.103,8,0.73,0.96,-0.15,-1.42,e,W
I,0.415,0.32,0.115,0.3045,0.1215,0.0735,0.094,7,1.56,-0.6,-1.7,0.46,e,W
I,0.425,0.325,0.105,0.3975,0.1815,0.081,0.1175,7,-1.48,-0.36,-0.97,0.9,e,W
I,0.44,0.34,0.1,0.379,0.1725,0.0815,0.101,7,-0.18,1.89,-1.34,0.66,e,B
I,0.44,0.34,0.12,0.4995,0.2965,0.0945,0.1185,6,-0.72,-0.14,2.81,-1.08,e,W
M,0.465,0.405,0.135,0.7775,0.436,0.1715,0.1455,10,-0.06,2.33,1.96,1.06,e,B
F,0.47,0.36,0.1,0.4705,0.1635,0.08900000000000001,0.1385,8,-2.1,0.05,-1.32,1.08,e,W
M,0.51,0.415,0.145,0.7509999999999999,0.3295,0.1835,0.203,8,0.55,-0.39,0.31,1.6,p,W
F,0.525,0.4,0.135,0.7140000000000001,0.318,0.138,0.208,10,-0.41,-0.83,2.07,1.99,p,B
F,0.525,0.4,0.13,0.6995,0.3115,0.131,0.223,9,0.93,-1.18,-1.66,0.27,e,H
F,0.55,0.425,0.14,0.952,0.4895,0.1945,0.2185,7,0.19,-0.86,-0.6,0.08,e,B
M,0.56,0.42,0.15,0.8755,0.44,0.1965,0.2315,8,-0.13,0.44,-1.47,-0.75,p,H
M,0.575,0.45,0.135,0.9215,0.354,0.209,0.2365,9,0.01,-0.06,-1.57,-1.34,e,H
F,0.575,0.45,0.135,0.8285,0.362,0.1655,0.236,10,-0.36,-0.33,-0.08,1.35,p,W
M,0.585,0.46,0.15,1.206,0.581,0.21600000000000005,0.32299999999999995,10,1.0,0.53,0.64,0.11,e,W
M,0.615,0.495,0.155,1.2865,0.435,0.293,0.3245,11,0.55,-0.36,0.81,-0.69,e,
F,0.62,0.485,0.155,1.1945,0.5105,0.271,0.35200000000000004,9,-1.56,0.48,-1.01,-0.25,e,W
F,0.63,0.495,0.19,1.1655,0.536,0.2115,0.1625,10,1.16,-0.34,2.52,1.34,e,B
F,0.63,0.49,0.17,1.2155,0.4625,0.2045,0.3105,10,0.72,-0.37,-1.33,-0.22,e,H
M,0.67,0.515,0.165,1.1735,0.526,0.285,0.316,11,-1.3,0.33,0.62,1.36,e,
M,0.675,0.505,0.16,1.5319999999999998,0.74,0.35700000000000004,0.3815,11,-1.05,0.65,-0.95,0.02,e,B
F,0.685,0.53,0.17,1.5105,0.7385,0.3525,0.3725,10,-0.4,1.12,0.07,-0.82,e,H
F,0.485,0.39,0.1,0.5565,0.2215,0.1155,0.185,9,-1.37,-0.46,-0.78,0.18,e,W
M,0.46,0.36,0.125,0.547,0.2165,0.1105,0.19,8,-1.63,0.56,0.4,1.4,e,W
M,0.46,0.35,0.125,0.5165,0.1885,0.1145,0.185,9,-0.76,0.68,-0.03,-0.94,e,W
M,0.535,0.42,0.125,0.764,0.312,0.1505,0.265,11,0.36,2.88,-1.22,-0.15,e,W
M,0.465,0.36,0.105,0.488,0.188,0.0845,0.19,10,1.75,1.26,0.39,0.24,e,
M,0.51,0.4,0.14,0.6905,0.259,0.151,0.23,10,-0.53,0.04,-0.29,-0.97,p,W
I,0.335,0.26,0.09,0.1835,0.078,0.024,0.065,11,-1.38,1.97,-0.67,-0.74,e,W
M,0.55,0.425,0.16,0.97,0.2885,0.139,0.48,20,-0.39,0.78,0.22,-0.57,e,W
I,0.18,0.135,0.08,0.033,0.0145,0.006999999999999999,0.01,5,1.03,-0.55,-1.14,1.21,p,W
I,0.215,0.165,0.055,0.059,0.0265,0.0125,0.0185,5,1.45,-1.39,0.18,0.77,e,W
I,0.2,0.15,0.04,0.046,0.021,0.006999999999999999,0.0065,4,1.08,-1.27,-0.39,1.89,e,H
F,0.625,0.48,0.2,1.3235,0.6075,0.3055,0.355,9,-0.57,-0.6,-1.14,0.19,e,W
M,0.55,0.42,0.17,0.8465,0.336,0.2405,0.245,13,0.75,0.8,-0.05,0.29,e,B
M,0.585,0.45,0.15,1.047,0.4315,0.276,0.315,14,1.11,0.59,0.14,-0.8,e,W
F,0.645,0.5,0.18,1.2785,0.5345,0.2995,0.345,13,1.17,0.3,-1.28,0.43,p,W
F,0.71,0.53,0.195,1.8745,0.6755,0.4065,0.6855,12,-0.94,1.36,-1.19,0.3,p,H
F,0.7,0.54,0.215,1.978,0.6675,0.3125,0.71,24,-0.49,0.62,-0.36,0.41,e,B
F,0.655,0.505,0.165,1.367,0.5835,0.3515,0.396,10,0.62,0.56,-0.19,1.99,e,
F,0.665,0.5,0.175,1.742,0.595,0.3025,0.725,21,-0.23,0.74,-1.87,1.65,e,N
F,0.47,0.375,0.105,0.513,0.232,0.142,0.13,11,-0.49,-0.07,-1.1,1.59,p,
M,0.425,0.335,0.1,0.4085,0.1755,0.092,0.135,9,-0.42,0.48,0.98,0.12,e,W
M,0.54,0.41,0.13,0.56,0.2375,0.1065,0.175,7,1.36,0.31,0.39,0.23,e,H
M,0.505,0.395,0.125,0.635,0.29,0.1555,0.175,9,0.01,1.29,-0.54,0.25,e,A
M,0.535,0.44,0.165,0.875,0.279,0.18,0.3,10,-0.07,0.95,-0.97,-0.7,p,B
F,0.43,0.35,0.09,0.397,0.1575,0.08900000000000001,0.12,9,0.4,2.17,-1.12,-0.52,e,H
M,0.55,0.435,0.11,0.8059999999999999,0.3415,0.203,0.215,9,1.26,0.06,-0.1,-1.25,e,W
F,0.34,0.255,0.085,0.204,0.097,0.021,0.05,6,1.55,0.17,0.01,-0.77,p,H
I,0.275,0.2,0.065,0.1165,0.0565,0.013,0.035,7,0.75,-1.08,-0.07,-0.68,e,H
F,0.335,0.22,0.07,0.17,0.076,0.0365,0.05,6,-0.03,-0.16,-0.66,2.48,p,B
M,0.64,0.49,0.14,1.194,0.4445,0.238,0.375,15,-0.93,1.45,-0.29,0.02,p,W
F,0.55,0.44,0.125,0.765,0.33,0.2125,0.245,9,-2.93,-0.23,-2.21,-0.25,e,W
F,0.64,0.475,0.19,1.151,0.4365,0.281,0.3805,13,-0.14,-0.38,-0.14,0.94,p,W
F,0.545,0.41,0.115,0.6765,0.29,0.158,0.22,9,0.41,-0.2,-1.34,0.06,p,W
F,0.64,0.54,0.175,1.571,0.627,0.271,0.475,18,0.08,0.08,0.59,-0.85,p,W
M,0.605,0.49,0.155,1.153,0.503,0.2505,0.295,15,0.02,1.32,-0.43,-0.5,e,B
M,0.605,0.47,0.115,1.114,0.3925,0.29100000000000004,0.31,15,1.21,0.29,-1.2,0.4,p,B
M,0.56,0.45,0.155,0.9125,0.3595,0.271,0.35,10,0.32,0.38,1.17,-0.5,p,W
F,0.57,0.465,0.155,0.872,0.3245,0.239,0.285,14,-0.54,2.42,-1.3,0.26,e,W
M,0.525,0.405,0.16,0.792,0.316,0.1455,0.28,13,-0.19,0.44,0.71,0.59,e,B
F,0.505,0.405,0.18,0.606,0.239,0.1235,0.18,11,-1.22,-0.39,0.69,-1.65,e,
M,0.35,0.265,0.09,0.2265,0.0995,0.0575,0.065,6,-0.75,0.2,1.27,-1.25,p,B
M,0.45,0.355,0.12,0.3955,0.147,0.0765,0.145,9,0.38,-0.84,1.44,-0.18,p,B
I,0.51,0.405,0.12,0.61,0.229,0.131,0.235,11,-0.04,0.08,-1.18,0.8,e,W
F,0.49,0.38,0.13,0.539,0.229,0.1355,0.165,12,-0.84,-0.33,0.89,-1.1,e,W
F,0.505,0.41,0.135,0.657,0.29100000000000004,0.133,0.195,15,-0.43,-1.42,0.18,-0.81,e,W
M,0.38,0.3,0.1,0.2505,0.106,0.0535,0.0775,8,-0.91,1.37,0.22,-0.21,e,
I,0.27,0.195,0.07,0.102,0.045,0.0135,0.034,8,-0.68,-1.76,-0.08,-1.12,p,H
F,0.37,0.295,0.1,0.2685,0.1165,0.056,0.0835,7,1.5,-0.31,0.17,-0.99,e,
M,0.5,0.385,0.135,0.551,0.2245,0.0715,0.206,11,0.48,-0.89,0.2,1.63,p,B
M,0.645,0.505,0.165,1.307,0.4335,0.262,0.52,10,-0.26,1.29,-0.18,-0.95,p,H
M,0.565,0.44,0.115,0.9185,0.404,0.1785,0.29,11,0.35,1.15,0.69,1.02,e,N
F,0.67,0.545,0.175,1.707,0.6995,0.387,0.575,13,-0.62,-1.7,-1.15,-0.74,e,W
F,0.59,0.415,0.15,0.8805,0.3645,0.234,0.235,11,0.54,-0.42,-2.36,-0.25,e,A
F,0.47,0.36,0.11,0.4965,0.237,0.127,0.13,6,0.79,0.57,-0.64,0.2,e,B
F,0.51,0.385,0.135,0.632,0.282,0.145,0.17,8,0.42,0.65,0.16,-1.5,p,W
M,0.72,0.575,0.23,2.2695,0.8835,0.3985,0.665,16,0.46,0.84,-0.23,0.83,p,W
M,0.55,0.405,0.15,0.9235,0.412,0.2135,0.24,7,-1.31,2.25,1.52,0.46,e,W
I,0.2,0.145,0.025,0.0345,0.011,0.0075,0.01,5,-0.6,0.61,0.2,-2.2,p,W
M,0.65,0.515,0.18,1.3315,0.5665,0.34700000000000003,0.405,13,0.58,0.57,-2.2,1.49,p,N
F,0.525,0.405,0.115,0.72,0.3105,0.1915,0.2,14,0.54,-1.55,-0.2,0.43,e,W
M,0.565,0.435,0.185,1.032,0.354,0.2045,0.31,20,-0.04,0.88,0.47,-1.31,p,W
F,0.61,0.47,0.16,1.017,0.426,0.2255,0.32,12,0.61,-0.5,0.23,-0.68,e,A
F,0.545,0.405,0.175,0.98,0.2585,0.207,0.38,18,0.67,0.23,-0.17,1.27,e,H
I,0.325,0.245,0.075,0.1495,0.0605,0.033,0.045,5,0.49,-0.21,1.33,-1.01,e,H
I,0.31,0.235,0.075,0.1515,0.056,0.0315,0.05,7,0.94,2.86,1.52,1.65,e,B
M,0.45,0.335,0.14,0.478,0.1865,0.115,0.16,11,0.95,-2.17,0.32,-1.16,e,W
F,0.49,0.38,0.155,0.578,0.2395,0.1255,0.18,9,0.11,-0.37,0.91,1.96,p,
F,0.505,0.405,0.16,0.6835,0.271,0.145,0.215,10,1.62,-0.2,-0.67,-0.02,e,H
F,0.385,0.3,0.1,0.2725,0.1115,0.057,0.08,6,1.79,-0.63,0.14,1.56,p,B
F,0.62,0.485,0.22,1.511,0.5095,0.284,0.51,17,-1.06,-1.6,-0.3,0.95,e,W
F,0.635,0.505,0.185,1.3035,0.501,0.295,0.41,17,0.78,-1.35,-1.03,-0.45,e,H
F,0.665,0.53,0.185,1.3955,0.456,0.3205,0.49,15,-1.07,0.22,-0.04,-0.94,e,
M,0.335,0.265,0.095,0.1975,0.0795,0.0375,0.07,9,1.09,0.23,0.14,0.0,p,W
I,0.295,0.215,0.075,0.116,0.037000000000000005,0.0295,0.04,8,-0.29,-0.34,1.06,1.15,e,W
I,0.48,0.38,0.125,0.523,0.2105,0.1045,0.175,15,-1.23,-0.93,-0.31,-1.4,e,N
I,0.32,0.25,0.08,0.1565,0.057,0.034,0.06,9,0.95,-0.25,-0.49,-1.33,p,W
I,0.43,0.34,0.125,0.384,0.1375,0.061,0.146,14,0.87,1.55,0.56,-0.33,p,H
M,0.565,0.45,0.14,1.0055,0.3785,0.244,0.265,12,0.78,-0.31,2.75,0.54,e,W
F,0.6,0.48,0.165,1.1345,0.4535,0.27,0.335,10,0.42,-0.39,-0.2,0.94,p,H
F,0.585,0.46,0.17,1.0835,0.3745,0.326,0.325,14,-0.78,0.95,-1.02,0.84,e,W
F,0.555,0.42,0.14,0.868,0.33,0.243,0.21,13,-1.63,1.67,-1.07,0.07,e,W
F,0.57,0.495,0.16,1.0915,0.452,0.275,0.315,14,-1.24,-0.59,0.85,-0.13,e,W
F,0.62,0.485,0.175,1.271,0.531,0.3075,0.37,11,-0.54,1.12,-1.63,-0.58,e,H
M,0.63,0.51,0.19,1.4985,0.4125,0.3075,0.545,16,-0.35,0.39,0.0,1.52,e,W
M,0.425,0.34,0.12,0.388,0.149,0.087,0.125,10,-0.31,0.04,-1.36,0.35,e,W
F,0.64,0.505,0.19,1.2355,0.4435,0.3105,0.365,14,-0.19,-0.49,-1.24,-0.08,p,W
M,0.675,0.525,0.175,1.402,0.483,0.3205,0.465,16,2.03,-0.25,1.98,1.35,e,W
M,0.5,0.4,0.145,0.6025,0.21600000000000005,0.138,0.21,11,0.26,-2.47,1.16,0.59,e,W
M,0.385,0.305,0.09,0.2775,0.109,0.0515,0.1,9,-1.53,-0.83,-0.4,-0.58,e,W
M,0.52,0.435,0.195,0.973,0.2985,0.2135,0.355,18,0.0,-1.2,0.66,2.86,e,H
M,0.52,0.415,0.175,0.753,0.258,0.171,0.255,8,-2.35,-2.35,-0.44,-0.77,e,B
M,0.64,0.525,0.2,1.3765,0.44,0.3075,0.47,16,-1.15,-0.27,1.35,-1.56,e,W
I,0.44,0.35,0.12,0.375,0.1425,0.0965,0.115,9,1.58,0.17,-0.32,-1.09,e,W
F,0.42,0.32,0.13,0.4135,0.1645,0.106,0.119,10,-0.16,-1.11,0.41,0.92,p,B
F,0.45,0.35,0.135,0.56,0.231,0.13699999999999998,0.145,13,-1.26,-0.19,0.72,0.85,p,W
I,0.42,0.325,0.125,0.3915,0.1575,0.1025,0.115,9,-2.13,-0.65,-1.41,-1.14,e,W
F,0.64,0.505,0.19,1.2765,0.4835,0.328,0.4,12,0.27,-0.92,-1.49,0.77,e,H
M,0.57,0.455,0.15,0.96,0.387,0.2385,0.275,11,2.65,-0.66,-0.53,0.89,e,H
M,0.41,0.325,0.12,0.3745,0.158,0.081,0.125,12,-0.63,-0.18,0.23,-0.36,p,B
M,0.485,0.41,0.15,0.696,0.2405,0.1625,0.265,13,1.03,0.4,0.46,-0.64,p,W
F,0.61,0.48,0.19,1.2955,0.5215,0.3225,0.365,12,0.72,0.06,-1.38,-0.82,p,B
F,0.59,0.485,0.205,1.2315,0.4525,0.238,0.42,13,-1.63,-0.3,-1.4,-0.84,e,B
M,0.665,0.535,0.155,1.383,0.596,0.2565,0.485,14,-0.49,-1.21,-1.9,-0.34,p,B
I,0.345,0.285,0.1,0.2225,0.0865,0.058,0.075,8,-2.48,-0.86,-0.43,-0.47,e,H
M,0.635,0.51,0.155,1.156,0.428,0.289,0.315,18,-1.91,-0.47,-0.41,-1.04,e,W
M,0.695,0.53,0.15,1.477,0.6375,0.3025,0.43,14,0.18,-0.04,0.71,1.35,e,W
F,0.69,0.54,0.185,1.5715,0.6935,0.318,0.47,15,-0.72,0.99,0.99,2.86,p,W
M,0.555,0.435,0.135,0.858,0.377,0.1585,0.29,15,-1.42,-1.46,0.84,1.18,e,B
M,0.65,0.525,0.19,1.4995,0.6265,0.4005,0.395,14,1.94,0.3,-1.63,-0.19,e,H
M,0.635,0.48,0.19,1.467,0.5825,0.303,0.42,15,-0.61,-0.12,0.93,1.27,p,B
F,0.655,0.51,0.16,1.092,0.396,0.2825,0.37,14,-1.09,-2.78,1.75,-1.34,p,
F,0.69,0.555,0.205,1.8165,0.7785,0.4395,0.515,19,0.48,0.28,-0.3,-0.44,e,W
F,0.695,0.55,0.16,1.6365,0.6940000000000001,0.3005,0.44,13,-0.42,0.71,0.9,0.86,p,W
M,0.55,0.435,0.16,0.906,0.342,0.219,0.295,13,0.13,0.7,1.56,-0.69,p,W
F,0.61,0.495,0.19,1.213,0.464,0.306,0.365,15,-1.01,-0.14,-0.41,1.83,e,W
M,0.595,0.5,0.165,1.06,0.402,0.28,0.275,11,-1.08,-0.85,0.81,0.26,p,B
M,0.3,0.24,0.09,0.161,0.0725,0.039,0.05,6,-0.67,-0.36,1.0,0.08,e,B
F,0.435,0.35,0.125,0.459,0.197,0.1145,0.145,9,0.48,-0.91,-1.21,1.3,e,A
I,0.455,0.375,0.125,0.5329999999999999,0.233,0.106,0.185,8,-1.2,0.15,-0.12,0.51,e,W
M,0.48,0.38,0.13,0.6175,0.3,0.142,0.175,12,1.46,0.61,0.06,-0.7,e,H
I,0.43,0.35,0.105,0.366,0.1705,0.0855,0.11,6,-1.1,1.31,0.62,-0.52,p,H
F,0.435,0.35,0.105,0.4195,0.194,0.1005,0.13,7,-0.27,1.1,0.05,2.46,e,
I,0.3,0.23,0.075,0.15,0.0605,0.042,0.045,5,-0.67,-0.34,1.05,-0.92,e,A
F,0.575,0.48,0.15,0.8745,0.375,0.193,0.29,12,-0.1,0.1,-1.19,0.16,e,W
M,0.505,0.385,0.11,0.655,0.3185,0.15,0.185,9,1.95,0.44,-0.23,0.09,e,W
M,0.455,0.375,0.125,0.484,0.2155,0.102,0.165,7,-0.89,1.21,0.18,0.14,p,W
M,0.64,0.505,0.165,1.4435,0.6145,0.3035,0.39,18,-1.33,-0.36,-0.12,-0.38,p,W
F,0.56,0.435,0.125,0.8775,0.3345,0.2145,0.29,13,-0.2,0.3,-1.0,1.42,e,H
F,0.645,0.52,0.19,1.3105,0.58,0.28800000000000003,0.37,12,0.66,-0.39,1.19,0.33,e,B
F,0.595,0.485,0.145,1.2515,0.5035,0.2925,0.33,14,2.77,0.53,1.34,-0.08,p,B
M,0.565,0.45,0.115,0.9085,0.398,0.197,0.29,17,1.95,-0.37,1.72,0.6,e,W
F,0.655,0.5,0.14,1.1705,0.5405,0.3175,0.285,12,-0.68,-0.45,0.04,0.66,p,W
M,0.48,0.38,0.135,0.528,0.2,0.1395,0.16,14,-0.32,-0.85,-0.5,-0.18,p,W
F,0.495,0.385,0.135,0.6625,0.3005,0.1635,0.185,11,0.76,0.31,-0.87,-0.59,e,W
F,0.4,0.335,0.115,0.4335,0.2105,0.1205,0.12,10,1.84,0.69,2.0,2.22,e,W
M,0.41,0.31,0.125,0.3595,0.1415,0.0885,0.115,11,-1.16,1.39,0.22,0.3,p,W
F,0.595,0.465,0.145,1.107,0.402,0.2415,0.31,12,-0.1,-0.11,-0.49,0.82,p,
F,0.625,0.475,0.13,0.8595,0.3195,0.1775,0.24,13,-0.77,-0.77,2.12,1.51,p,B
M,0.52,0.425,0.155,0.7735,0.297,0.123,0.255,17,-0.06,1.54,-0.1,-0.62,e,W
M,0.465,0.36,0.125,0.4365,0.16899999999999998,0.1075,0.145,11,-0.73,-0.68,0.88,1.11,e,W
F,0.475,0.375,0.14,0.501,0.192,0.1175,0.175,13,0.73,-0.93,-0.48,-0.44,e,B
F,0.5,0.405,0.14,0.6735,0.265,0.124,0.25,18,-0.83,0.17,0.49,-0.1,p,W
M,0.46,0.355,0.11,0.415,0.215,0.08199999999999999,0.13,12,-1.14,-1.26,0.56,-0.32,e,W
M,0.485,0.385,0.125,0.4775,0.2,0.0785,0.17,12,-0.41,-1.77,0.7,0.59,p,W
F,0.465,0.39,0.14,0.5555,0.213,0.1075,0.215,15,-0.86,2.06,-1.16,-0.75,p,B
M,0.525,0.415,0.16,0.6445,0.26,0.1575,0.22,12,0.47,1.16,-1.18,-1.41,e,W
F,0.655,0.53,0.19,1.4280000000000002,0.493,0.318,0.565,18,-0.04,1.11,0.42,1.5,e,B
M,0.69,0.54,0.185,1.6195,0.5329999999999999,0.353,0.555,24,-1.69,-0.71,-0.95,-2.62,p,B
M,0.55,0.45,0.17,0.81,0.317,0.157,0.22,11,-0.34,0.15,0.37,0.29,p,
F,0.58,0.475,0.165,1.0385,0.414,0.26,0.305,13,0.23,0.99,-0.87,-0.52,p,W
F,0.59,0.475,0.155,0.9715,0.371,0.235,0.28,11,-0.35,1.14,-0.62,0.49,e,W
M,0.565,0.44,0.155,0.868,0.348,0.217,0.26,11,0.05,-0.27,0.64,0.04,p,H
F,0.665,0.57,0.185,1.5219999999999998,0.6965,0.3025,0.405,13,0.87,0.11,-0.35,1.04,e,B
F,0.62,0.51,0.175,1.1255,0.4985,0.227,0.315,14,0.97,-0.82,0.94,0.3,e,W
M,0.55,0.46,0.13,0.7085,0.305,0.1455,0.205,12,0.95,-0.72,-0.32,0.0,e,H
F,0.605,0.475,0.145,1.0185,0.4695,0.225,0.27,15,-2.25,0.24,1.48,0.23,e,W
M,0.535,0.42,0.16,0.72,0.275,0.16399999999999998,0.225,15,0.11,-0.42,0.31,-0.88,e,N
F,0.51,0.395,0.12,0.6175,0.262,0.122,0.193,12,-0.93,0.06,-0.4,1.38,e,B
M,0.53,0.405,0.13,0.738,0.2845,0.17,0.193,9,0.06,-0.18,-0.69,0.48,e,B
F,0.495,0.375,0.15,0.597,0.2615,0.135,0.17800000000000002,11,0.31,-1.36,0.67,0.69,p,W
M,0.575,0.455,0.185,1.156,0.5525,0.243,0.295,13,0.89,-0.39,0.3,-1.94,e,W
F,0.63,0.5,0.16,1.22,0.4905,0.3,0.345,14,-0.47,0.42,-2.0,-1.0,e,W
M,0.59,0.45,0.12,0.7485,0.3345,0.1315,0.22,14,-0.66,1.38,0.18,-1.94,p,W
F,0.605,0.485,0.165,1.0735,0.4370000000000001,0.205,0.33,14,-2.28,-0.24,1.51,-1.14,e,B
